Index,-30,-20,-10,0,10,20,frequency (Hz)
174,-123.016128540039,-131.375701904297,-112.0693359375,-106.588096618652,-90.4558792114258,-87.6925964355469,1088.39125
175,-123.040176391602,-131.394592285156,-112.086318969727,-106.607940673828,-90.4716567993164,-87.7067184448242,1094.640625
176,-123.064666748047,-131.413833618164,-112.103591918945,-106.62809753418,-90.4877319335938,-87.7211303710937,1100.8899999999999
177,-123.088623046875,-131.432464599609,-112.120216369629,-106.64762878418,-90.5031661987305,-87.7348785400391,1107.139375
178,-123.112991333008,-131.451431274414,-112.137130737305,-106.667495727539,-90.5189208984375,-87.7489242553711,1113.3887499999998
179,-123.137771606445,-131.470764160156,-112.154350280762,-106.68766784668,-90.5349731445313,-87.7632522583008,1119.638125
180,-123.162979125977,-131.490432739258,-112.171844482422,-106.708183288574,-90.5513229370117,-87.7778701782227,1125.8875
181,-123.188598632813,-131.510452270508,-112.189643859863,-106.729011535645,-90.567985534668,-87.7927856445313,1132.136875
182,-123.214660644531,-131.530807495117,-112.207733154297,-106.75016784668,-90.5849609375,-87.8079833984375,1138.38625
183,-123.241134643555,-131.551513671875,-112.226104736328,-106.771636962891,-90.6022338867188,-87.8234710693359,1144.635625
184,-123.268051147461,-131.572570800781,-112.244789123535,-106.793434143066,-90.6198272705078,-87.8392486572266,1150.885
185,-123.294509887695,-131.593124389648,-112.262886047363,-106.814697265625,-90.6368408203125,-87.8544540405273,1157.1343749999999
186,-123.321411132813,-131.613998413086,-112.281265258789,-106.836280822754,-90.654167175293,-87.8699340820313,1163.38375
187,-123.348724365234,-131.635223388672,-112.299919128418,-106.85816192627,-90.6717834472656,-87.8856964111328,1169.6331249999998
188,-123.37646484375,-131.656768798828,-112.318855285645,-106.88037109375,-90.689697265625,-87.901741027832,1175.8825
189,-123.404647827148,-131.678665161133,-112.338073730469,-106.902893066406,-90.7079162597656,-87.9180679321289,1182.131875
190,-123.433227539063,-131.700912475586,-112.357566833496,-106.925735473633,-90.7264099121094,-87.9346771240234,1188.38125
191,-123.462265014648,-131.723495483398,-112.377342224121,-106.948883056641,-90.7452239990234,-87.9515533447266,1194.630625
192,-123.491714477539,-131.746429443359,-112.397384643555,-106.972358703613,-90.7643203735352,-87.9687271118164,1200.8799999999999
193,-123.52082824707,-131.768905639648,-112.416923522949,-106.99535369873,-90.7829360961914,-87.9853897094727,1207.129375
194,-123.550369262695,-131.791717529297,-112.436721801758,-107.018669128418,-90.8018264770508,-88.002326965332,1213.3787499999999
195,-123.580322265625,-131.814880371094,-112.456787109375,-107.042282104492,-90.8209991455078,-88.0195236206055,1219.628125
196,-123.610717773438,-131.838363647461,-112.477119445801,-107.066200256348,-90.8404769897461,-88.0370025634766,1225.8774999999998
